,acc,trait,fold,network,dataset,lr,batch_size,epochs,model_input,embed,layer,mode,embed_mode,jobid
0,76.82458162307739,E,1,MLP,kaggle,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
1,77.59283185005188,E,2,MLP,kaggle,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
2,77.08066701889038,E,3,MLP,kaggle,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
3,77.46478915214539,E,4,MLP,kaggle,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
4,76.69654488563538,E,5,MLP,kaggle,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
5,77.20870971679688,E,6,MLP,kaggle,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
6,77.20870971679688,E,7,MLP,kaggle,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
7,76.92307829856873,E,8,MLP,kaggle,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
8,77.43589878082275,E,9,MLP,kaggle,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
9,76.92307829856873,E,10,MLP,kaggle,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
10,86.29961609840393,N,1,MLP,kaggle,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
11,86.17157340049744,N,2,MLP,kaggle,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
12,86.17157340049744,N,3,MLP,kaggle,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
13,86.17157340049744,N,4,MLP,kaggle,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
14,86.17157340049744,N,5,MLP,kaggle,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
15,86.17157340049744,N,6,MLP,kaggle,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
16,86.29961609840393,N,7,MLP,kaggle,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
17,86.28205060958862,N,8,MLP,kaggle,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
18,86.28205060958862,N,9,MLP,kaggle,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
19,86.28205060958862,N,10,MLP,kaggle,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
20,69.91037130355835,F,1,MLP,kaggle,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
21,69.14212703704834,F,2,MLP,kaggle,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
22,67.60563254356384,F,3,MLP,kaggle,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
23,71.44686579704285,F,4,MLP,kaggle,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
24,69.78232860565186,F,5,MLP,kaggle,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
25,71.57490253448486,F,6,MLP,kaggle,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
26,70.80665826797485,F,7,MLP,kaggle,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
27,69.87179517745972,F,8,MLP,kaggle,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
28,68.84615421295166,F,9,MLP,kaggle,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
29,67.94871687889099,F,10,MLP,kaggle,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
30,61.843788623809814,J,1,MLP,kaggle,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
31,61.331623792648315,J,2,MLP,kaggle,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
32,63.12419772148132,J,3,MLP,kaggle,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
33,63.38028311729431,J,4,MLP,kaggle,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
34,62.0998740196228,J,5,MLP,kaggle,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
35,62.35595345497131,J,6,MLP,kaggle,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
36,62.74007558822632,J,7,MLP,kaggle,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
37,60.89743375778198,J,8,MLP,kaggle,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
38,61.538463830947876,J,9,MLP,kaggle,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
39,61.92307472229004,J,10,MLP,kaggle,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
